# kind	fedora-package/source	command/purpose	status
dnf	rust	rust compiler	required-wl-screenrec
dnf	rust-std-static-wasm32-wasip1	Rust WASI target standard library	required-zellij-plugins
dnf	clang	clang compiler	required-wl-screenrec
dnf	libdrm-devel	DRM development files	required-wl-screenrec
dnf	freeglut-devel	OpenGL utility development files	required-wl-screenrec
dnf	ffmpeg-free-devel	FFmpeg development files	required-wl-screenrec
dnf	ImageMagick	ImageMagick convert	required-wl-color-picker
dnf	zenity	zenity color dialog	required-wl-color-picker
copr	yazi	lihaohong/yazi	fedora44
copr	zellij	frodo/zellij	fedora44
cargo	wl-screenrec	wl-screenrec	upstream-fedora-method
upstream	wl-color-picker	jgmdev/wl-color-picker	upstream-script
upstream	bun	bun-v1.3.3 official installer	arch-parity
upstream	typst	v0.15.0 official Linux x86_64 prebuilt	arch-parity

# Fedora 44 workstation CLI
dnf	eza	modern ls	required-workstation
dnf	bat	syntax highlighting cat	required-workstation
dnf	yq	YAML processor	required-workstation
dnf	tree	directory tree	required-workstation
dnf	htop	interactive process viewer	required-workstation
dnf	btop	system resource monitor	required-workstation
dnf	ncdu	interactive disk usage	required-workstation
dnf	zoxide	smart directory jumper	required-workstation
dnf	rsync	file synchronization	required-workstation
dnf	unzip	ZIP extractor	required-workstation
dnf	zip	ZIP archiver	required-workstation
dnf	git-lfs	Git large file storage	required-workstation
dnf	gh	GitHub CLI	required-workstation
dnf	openssl	TLS and crypto toolkit	required-workstation
dnf	gnupg2	OpenPGP toolkit	required-workstation
dnf	age	file encryption	required-workstation
dnf	file	file type detection	required-workstation
dnf	which	command locator	required-workstation
dnf	lsof	open file inspector	required-workstation
dnf	strace	system call tracer	required-workstation
dnf	pciutils	PCI utilities	required-workstation
dnf	usbutils	USB utilities	required-workstation
dnf	bind-utils	DNS utilities	required-workstation
dnf	nmap-ncat	network utility	required-workstation

# Arch host parity additions
dnf	docker	Docker engine	arch-parity-system-service
dnf	docker-compose	Docker Compose	arch-parity-system-service
dnf	iwd	iwd wireless daemon	arch-parity-system-service
dnf	thermald	Intel thermal daemon	arch-parity-physical
dnf	tuned	Tuned power management	arch-parity-physical
dnf	vnstat	Network traffic statistics	arch-parity-system-service
dnf	libvirt	libvirt virtualization daemon	arch-parity-virtualization
dnf	virt-install	virt-install CLI	arch-parity-virtualization
dnf	virt-manager	virt-manager GUI	arch-parity-virtualization
dnf	yt-dlp	yt-dlp downloader	arch-parity-cli
dnf	ShellCheck	ShellCheck	arch-parity-cli
dnf	nodejs	Node.js runtime	arch-parity-runtime
dnf	npm	npm package manager	arch-parity-runtime
dnf	uv	uv Python tool manager	arch-parity-runtime
dnf	yarnpkg	Yarn package manager	arch-parity-runtime
dnf	bash-completion	Bash completion support	arch-parity-shell
dnf	wget	wget downloader	arch-parity-cli
dnf	fastfetch	fastfetch system info	arch-parity-cli
dnf	hyperfine	hyperfine benchmark tool	arch-parity-cli
dnf	pandoc	Pandoc document converter	arch-parity-cli

# Arch foreign/application parity
upstream	claude-code	Claude Code	official-anthropic-installer
upstream	github-copilot-cli	GitHub Copilot CLI	official-github-installer
upstream	jetbrains-toolbox	JetBrains Toolbox	official-jetbrains-tarball-fedora44-not-yet-listed-supported
vendor	chatgpt	ChatGPT Desktop	official-openai-fedora44-rpm
vendor	github-copilot-app	GitHub Copilot app	needs-linux-upstream-verification
vendor	tradingview	TradingView Desktop	official-linux-deb-or-snap-no-native-fedora
vendor	antigravity	Antigravity IDE	needs-linux-upstream-verification
upstream	realesrgan-ncnn-vulkan	Real-ESRGAN NCNN Vulkan	official-portable-linux-binary
